Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
52,1971,ACC,3,8,0,0.273,2,4,0,0.333,-10.79,-0.07,,,,Al Michaels (3-8),,
53,1970,ACC,3,7,1,0.318,2,3,1,0.417,-9.24,-1.79,,,,Earle Edwards (3-7-1),,
54,1969,ACC,3,6,1,0.35,3,2,1,0.583,-2.59,0.62,,,,Earle Edwards (3-6-1),,
55,1968,ACC,6,4,0,0.6,6,1,0,0.857,8.93,5.43,,,,Earle Edwards (6-4),,
56,1967,ACC,9,2,0,0.818,5,1,0,0.833,14.99,4.17,,3,,Earle Edwards (9-2),Liberty Bowl-W,
57,1966,ACC,5,5,0,0.5,5,2,0,0.714,5.55,3.65,,,,Earle Edwards (5-5),,
58,1965,ACC,6,4,0,0.6,4,3,0,0.571,6.65,3.85,,,,Earle Edwards (6-4),,
59,1964,ACC,5,5,0,0.5,5,2,0,0.714,-0.99,4.11,,,,Earle Edwards (5-5),,
60,1963,ACC,8,3,0,0.727,6,1,0,0.857,7.84,1.93,,,,Earle Edwards (8-3),Liberty Bowl-L,
61,1962,ACC,3,6,1,0.35,3,4,0,0.429,-2.68,-0.58,,,,Earle Edwards (3-6-1),,
62,1961,ACC,4,6,0,0.4,3,4,0,0.429,2.39,4.99,,,,Earle Edwards (4-6),,
63,1960,ACC,6,3,1,0.65,4,1,1,0.75,-0.15,-4.25,,,,Earle Edwards (6-3-1),,
64,1959,ACC,1,9,0,0.1,0,6,0,0,-7.34,1.86,,,,Earle Edwards (1-9),,
65,1958,ACC,2,7,1,0.25,2,5,0,0.286,-7.47,-3.17,,,,Earle Edwards (2-7-1),,
66,1957,ACC,7,1,2,0.8,5,0,1,0.917,10.9,3.3,,10,15,Earle Edwards (7-1-2),,
67,1956,ACC,3,7,0,0.3,2,4,0,0.333,-2.21,3.09,,20,,Earle Edwards (3-7),,
68,1955,ACC,4,5,1,0.45,0,2,1,0.167,-3.48,-4.48,,,,Earle Edwards (4-5-1),,
69,1954,ACC,2,8,0,0.2,0,4,0,0,-6.02,3.09,,,,Earle Edwards (2-8),,
70,1953,ACC,1,9,0,0.1,0,3,0,0,-18.51,-4.81,,,,Horace Hendrickson (1-9),,
71,1952,Southern,3,7,0,0.3,2,4,0,0.333,-14.61,-2.71,,,,Horace Hendrickson (3-7),,
72,1951,Southern,3,7,0,0.3,2,6,0,0.25,-8.26,-3.26,,,,Beattie Feathers (3-7),,
73,1950,Southern,5,4,1,0.55,4,4,1,0.5,-5.86,-4.96,,,,Beattie Feathers (5-4-1),,
74,1949,Southern,3,7,0,0.3,3,6,0,0.333,-6.92,-0.62,,,,Beattie Feathers (3-7),,
75,1948,Southern,3,6,1,0.35,1,4,1,0.25,0.63,4.43,,,,Beattie Feathers (3-6-1),,
76,1947,Southern,5,3,1,0.611,3,2,1,0.583,9.09,4.42,,16,17,Beattie Feathers (5-3-1),,
77,1946,Southern,8,3,0,0.727,6,1,0,0.857,13.47,4.47,,12,18,Beattie Feathers (8-3),Gator Bowl-L,
78,1945,Southern,3,6,0,0.333,2,4,0,0.333,0.16,3.39,,,,Beattie Feathers (3-6),,
79,1944,Southern,7,2,0,0.778,3,2,0,0.6,5.65,-5.02,,,,Beattie Feathers (7-2),,
80,1943,Southern,3,6,0,0.333,0,4,0,0,-10.62,-3.18,,,,,,
81,1942,Southern,4,4,2,0.5,3,1,2,0.667,-0.8,2.6,,,,,,
82,1941,Southern,4,5,2,0.455,3,4,2,0.444,-5.23,-3.32,,,,,,
83,1940,Southern,3,6,0,0.333,3,5,0,0.375,-0.94,3.5,,,,Doc Newton (3-6),,
84,1939,Southern,2,8,0,0.2,2,4,0,0.333,-4.7,7.8,,,,,,
85,1938,Southern,3,7,1,0.318,3,3,1,0.5,-0.7,3.39,,,,,,
86,1937,Southern,5,3,1,0.611,4,2,1,0.643,2.39,1.84,,,,,,
87,1936,Southern,3,7,0,0.3,2,4,0,0.333,-1.92,-0.22,,,,Hunk Anderson (3-7),,
88,1935,Southern,6,4,0,0.6,2,2,0,0.5,1.97,0.17,,,,Hunk Anderson (6-4),,
89,1934,Southern,2,6,1,0.278,1,3,1,0.3,-5.62,2.05,,,,Hunk Anderson (2-6-1),,
90,1933,Southern,1,5,3,0.278,0,4,0,0,-4.67,-0.23,,,,,,
91,1932,Southern,6,1,2,0.778,3,1,1,0.7,3.91,-2.53,,,,,,
92,1931,Southern,3,6,0,0.333,2,4,0,0.333,-10.36,-5.8,,,,,,
93,1930,Southern,2,8,0,0.2,1,5,0,0.167,-10.01,-2.01,,,,John Van Liew (2-8),,
94,1929,Southern,1,8,0,0.111,0,5,0,0,-16.77,-1.44,,,,Gus Tebell (1-8),,
95,1928,Southern,4,5,1,0.45,1,4,1,0.25,-0.37,-1.77,,,,Gus Tebell (4-5-1),,
96,1927,Southern,9,1,0,0.9,4,0,0,1,9.54,-3.26,,,,Gus Tebell (9-1),,
97,1926,Southern,4,6,0,0.4,0,4,0,0,-6.02,-2.72,,,,Gus Tebell (4-6),,
98,1925,Southern,3,5,1,0.389,0,4,1,0.1,-0.18,2.71,,,,Gus Tebell (3-5-1),,
99,1924,Southern,2,6,2,0.3,1,4,1,0.25,-3.05,3.85,,,,,,
100,1923,Southern,3,7,0,0.3,1,4,0,0.2,-2.8,4.8,,,,Harry Hartsell (3-7),,
101,1922,Southern,4,6,0,0.4,0,5,0,0,2.72,3.42,,,,Harry Hartsell (4-6),,
102,1921,Southern,3,3,3,0.5,1,1,1,0.5,-2.09,-0.64,,,,Harry Hartsell (3-3-3),,
103,1920,Ind,7,3,0,0.7,,,,,4.45,-1.35,,,,William Fetzer (7-3),,
104,1919,Ind,7,2,0,0.778,,,,,10.26,-1.63,,,,William Fetzer (7-2),,
105,1918,Ind,1,3,0,0.25,,,,,-7.23,4.02,,,,Tal Stafford (1-3),,
106,1917,Ind,6,2,1,0.722,,,,,5.93,1.15,,,,Harry Hartsell (6-2-1),,
107,1916,Ind,2,5,0,0.286,,,,,-7.98,5.16,,,,,,
108,1915,Ind,3,3,1,0.5,,,,,-3.25,0.04,,,,Jack Hegarty (3-3-1),,
109,1914,Ind,2,3,1,0.417,,,,,5.19,2.52,,,,Jack Hegarty (2-3-1),,
110,1913,Ind,6,1,0,0.857,,,,,9.16,-3.27,,,,,,
111,1912,Ind,4,3,0,0.571,,,,,-3.9,-2.32,,,,,,
112,1911,Ind,5,3,0,0.625,,,,,4.39,-0.74,,,,,,
113,1910,Ind,4,0,2,0.833,,,,,11.55,-1.62,,,,,,
114,1909,Ind,6,1,0,0.857,,,,,4.66,-5.34,,,,,,
115,1908,Ind,6,1,0,0.857,,,,,11.73,-2.56,,,,Mickey Whitehurst (6-1),,
